,title,salary,jobtype,location,description,company
0,Data Science Engineer,,Partial Remote Job,US National,"
            Work-from-home opportunity with occasional travel. Will develop machine learning models, run <b>data</b> <b>science</b> experiments, mentor junior team members, and develop and review system architecture. Need a bachelor's degree and seven years of experience.
        ",
1,"Manager, Data Science",,100% Remote Job,US National,"
            Remote role for a manager, <b>data</b> <b>science</b>. Will develop strategies, operational plans and standards, recruit, train, monitor and coach employees, develop and coordinate systems, and manage projects and products. Need a master's degree and six years of exp.
        ",
2,Data Science Consultant,,Option for Remote Job,"Wrocław, Poland","
            Full-time position. Flexible schedule. Will lead implementations, collaborate with team, develop case studies, contribute to processes and monitor tasks. Must have <b>data</b> handling experience. Remote option. Travel.
        ",
3,Senior Data Science Analyst,,100% Remote Job,US National,"
            Full-time, remote position. Responsibilities include developing a roadmap &amp; vision for <b>data</b> <b>science</b> reporting, developing &amp; maintaining a business metrics dashboard, and driving the improvement of marketing processes. Bachelor's degree required.
        ",
4,Data Science Content Creator,,100% Remote Job,"Belgium, Denmark, Finland, France, Greece, Germany, Hungary, Ireland, Italy, Netherlands, Norway, Poland, Portugal, Romania, Spain, Sweden, Switzerland, Turkey, Ukraine, United Kingdom","
            The freelance <b>data</b> <b>science</b> content creator will produce technical content for the company's library of templates. Must have content creation experience and superior writing/editing abilities in English. Remote job opportunity.
        ",
5,Data Science Manager,,100% Remote Job,US National,"
            Join a team, build and lead a <b>data</b> <b>science</b> team to deliver products, manage the development of <b>data</b> <b>science</b> models, apply algorithmic and <b>data</b> thinking and code, build and integrate models as required. Remote position.
        ",
6,Head of Data Science,,Flexible Schedule Job,"Pittsburgh, PA","
            Seeking candidate with Master's degree and seven years' relevant industry experience in <b>data</b> <b>science</b> at a tech company to be responsible for all aspects of the <b>data</b> <b>science</b> program, from the computer systems utilized to the recruiting of talent.
        ",
7,"Manager, Data Science",,100% Remote Job,US National,"
            Remote job for candidate who will manage the development, maintenance, and shipment of <b>data</b> <b>science</b> products, build and lead a team of <b>data</b> scientists, and manage timely delivery of <b>data</b> <b>science</b> solutions. Two years' exp. managing teams req.
        ",
8,Head of Data Science,,Partial Remote Job,"London, United Kingdom","
            Full-time, partially remote position. Will be responsible for defining the direction, structure, standards, &amp; processes for <b>data</b> <b>science</b>. The ideal candidate will have at least a bachelor's degree in a STEM field &amp; strong knowledge of <b>data</b> <b>science</b> tools.
        ",
9,"Data Scientist, Decision Science",,100% Remote Job,"Toronto, ON, Canada","
            Analyze product metrics and business information, support product development efforts, identify areas for optimization, and support new product launches. Remote. Requires background in math or <b>science</b>, Python and SQL proficiency, and 2 years' experience.
        ",
10,Data Science Engineer,,100% Remote Job,US National,"
            Work in a fast-paced environment, assist with applying statistical algorithms and models by creating services for <b>data</b> <b>science</b> products, improve the <b>data</b> feedback loop, and contribute <b>data</b> procedures to increase consistency. Remote opportunity.
        ",
11,Data Science Director,,100% Remote Job,US National,"
            Remote <b>data</b> <b>science</b> director needed to innovate, collaborate, analyze, and lead the <b>Data</b> <b>Science</b> team. Bachelor's degree in a related field of study, 10+ years of relevant experience, and experience managing high-performance teams required.
        ",
12,Data Science Instructor,,100% Remote Job,US National,"
            The remote-based <b>data</b> <b>science</b> instructor prepares lessons and learning materials, teaches two classes/week, and provides project guidance to students. A minimum of two years' professional <b>data</b> <b>science</b> experience is required. Part-time hours.
        ",
13,Data Science Lead,,100% Remote Job,US National,"
            Duties include growing the <b>data</b> <b>science</b> function &amp; providing leadership for <b>data</b> experimentation, ML, &amp; analytics activities. At least four years' experience with <b>data</b> projects is desirable, as is a related degree or equivalent experience. Remote role.
        ",
14,Data Science Manager,,100% Remote Job,"Canada, or US National","
            Remote position for a <b>data</b> <b>science</b> manager. Will guide decisions using <b>data</b>, identify projects that solve problems, design and implement <b>data</b> pipelines, build models and tables, and help build/maintain KPIs and dashboards. Need seven years of experience.
        ",
15,Director of Data Science,,100% Remote Job,"AL, CA, CO, GA, NY, NC","
            Lead a team of <b>data</b> scientists who develop algorithms that leverage multiple <b>data</b> sources. Must have 5+ years of <b>data</b> <b>science</b> or 3 years DS/MLE with software engineering experience. Full-time, remote position.
        ",
16,Director of Data Science,,100% Remote Job,"Bethesda, MD","
            Director of <b>Data</b> <b>Science</b> is needed for a remote opportunity. The candidate will design, develop, train, and validate machine learning models using Spark ML, Python, and HDFS. Master's degree and prior relevant experience required.
        ",
17,Data Science Associate,,100% Remote Job,US National,"
            The associate will collect &amp; analyze <b>data</b>, create models, prepare reports, support <b>data</b> integrity initiatives, &amp; provide training on new dashboards &amp; reports. Three years' related experience is expected for this WFH role. A bit of travel may be necessary.
        ",
18,"Manager, Data Science",,Option for Remote Job,"Mountain View, CA, or US National","
            Full-time job, remote option. Needs a bachelor's degree and five years' work related experience. Manage and mentor Scientists on the team, work with other departments, analyze big <b>data</b> and build machine learning model to improve product, analyze big <b>data</b>.
        ",
19,Data Science Manager,,100% Remote Job,US National,"
            The manager will oversee a team of <b>data</b> scientists, help guide product roadmaps, and create experiments for product features. This WFH role requires five or more years' quantitative analysis experience at a tech company. Team management exp. is required.
        ",
20,Vice President of Data Science,,100% Remote Job,"Dublin, Ireland","
            Full-time, remote position. Responsibilities incude driving a strategic <b>data</b> <b>science</b> roadmap, leading a <b>data</b> <b>science</b> team, developing analytical assets, and managing &amp; driving complex analytical projects. MSc/Ph.D. in a quantitative discipline required.
        ",
21,"Data Science Manager, Growth",,Option for Remote Job,US National,"
            Full-time position. Will identify opportunities, interface with staff and communicate results. 8+ years' related <b>data</b> <b>science</b> experience required. Strong communication skills needed. Telecommute option. $158,000/yr.
        ",
22,Data Science Manager - Marketplaces,,100% Remote Job,"ON, Canada","
<b>Data</b> <b>Science</b> Manager is needed for a remote opportunity. He/She will develop core decision-impacting metrics, models, and research for products and features. Must possess strong leadership skills. At least 5 years of related experience is required.
        ",
23,Data Science Instructor,,100% Remote Job,US National,"
            Be responsible for corporate training course lectures and Bootcamp prep, mentor students one-on-one in project development, lead course discussions, and provide personalized support to students. Part-time remote job with flexible hours. 
        ",
24,Tech Lead - Data Science,,Remote - During Pandemic Job,"Chicago, IL, Washington, DC","
            Full-time position. Will identify <b>data</b> sources, provide support, automate <b>data</b> and contribute to knowledge sharing. Master's degree and 1+ years' related management experience required. Remote during pandemic.
        ",
25,Data Science Support Engineer,,Partial Remote Job,US National,"
            Full-time partial remote role. He/she will develop <b>data</b> pre-processing scripts, monitor deployments in the field, analyze <b>data</b>, test code bases, and conduct clinical validation. Some travel. BS degree required. Salary is $60K - $80K/year.
        ",
26,Director of Applied Data Science,,Option for Remote Job,US National,"
            Full-time role with remote option. Candidate will build and manage a team of <b>data</b> scientists and engineers, design solution architecture, manage project priorities, and build dashboards and visualizations. Master's degree and 8+ years' experience req.
        ",
27,"Engineering Manager, Data Science",,100% Remote Job,"Houston, TX","
            Solve complex technical challenges while delivering improvements to flight <b>data</b> analysis, visualization, &amp; exploration. Must have a bachelor's degree and 8 years of general engineering experience, including 3 years of engineering management. WFH.
        ",
28,Senior Data Science Engineer,,100% Remote Job,"San Jose, CA","
            Remote position will operate as a tech lead with junior engineers, design/implement machine algorithms, develop software applications to identify hidden patterns, and design/build/maintain a <b>data</b> platform. Need exp. with Python, PySpark, and algorithms.
        ",
29,Data Science Manager - Marketing,,Option for Remote Job,US National,"
            Candidate will work with the product and engineering teams to identify opportunities for improvement, translate <b>data</b> into information, and create interpretable metrics to provide insight. Must have 2+ years of leadership exp. Option to work remotely.
        ",
30,Data Science Immersive Instructor Lead,,100% Remote Job,US National,"
            Teach the skills and mindset for online students to take on new careers in a wide variety of <b>Data</b> <b>Science</b> roles. Must have 2+ years of professional <b>data</b> <b>science</b> experience and be an expert in SQL, Python, and related Python libraries.
        ",
31,Lead Data Science Engineer,,100% Remote Job,"Austin, TX","
            Provide support to multidisciplinary teams using various <b>data</b> tools and implementing models and creating algorithms. Other duties include using predictive modeling, ad targeting and revenue generation. 10+ years of experience needed. Work remotely.
        ",
32,Data Science Online Course Instructor,,100% Remote Job,US National,"
            Freelance, remote position working part-time hrs. Will be responsible for teaching online <b>data</b> <b>science</b> courses. The ideal candidate will be a <b>data</b> <b>science</b> professional who is skilled in either Python, R, Sheets, or SQL and will have strong English skills.
        ",
33,Senior Data Science Analyst,,Option for Remote Job,"Barcelona, Spain","
            Optional remote job for candidate who will drive the budget, forecast, and financial reporting for the company's business line and design, execute, analyze, and report out on sophisticated analytics models. BA/BS degree and <b>data</b> analysis exp. req.
        ",
34,"Associate Data Science Instructor, Data Scientist",,Partial Remote Job,"NY, FL, NC, SC, TX, CO, CA, WA, AZ","
            Full-time, partially remote position. Will contribute to projects, assist with development,  deliver lectures, grow <b>data</b> and provide industry-specific expertise. Master's degree and related experience required. Travel.
        ",
35,Assessment Content Contributor - Data Science,,Option for Remote Job,"New York, NY, or US National","
            Remote P/T assessment content contributor needed to help write assessments that complement our existing <b>data</b> <b>science</b> content. Fluency and experience in Python, SQL, PostgreSQL, Pandas, Matplotlib, or other <b>data</b> <b>science</b> topics and English fluency required.
        ",
36,Data Science Manager - Marketplaces,,100% Remote Job,US National,"
            Full-time, remote position. Will build relationships, execute experiments, collaborate with team, conduct research, create metrics and communicate criteria. 5+ years' related industry experience required. 
        ",
37,Senior Data Science Engineer,,100% Remote Job,"Canada, or US National","
            Leads software development, collaborates on new features, implements unit tests, mentors engineers, and manages expectations. Requires five or more years' software engineering experience as well as English fluency. Remote position.
        ",
38,"Associate Instructor, Data Science",,100% Remote Job,US National,"
            Provide academic support to learners at an online tech school during PST evening hours. Must have a high school diploma and 5 years of experience (or BA/BS + 3). Contract with evening work is remote.
        ",
39,Data Science Manager - Core Product,,Option for Remote Job,US National,"
            Option for telecommuting. Candidate will develop robust scalable tools to empower decision-making at all levels of the company and oversee the roadmap for the core product <b>data</b> <b>science</b> team. Must have three plus years of exp. as a people manager.
        ",
40,"Technical Sourcer, Data Science",,Option for Remote Job,US National,"
            Full-time role with remote option. He/she will collaborate with recruiters and hiring managers to develop recruiting strategies. He/she will screen resumes, track pipeline activity, and interview candidates. 4+ years' recruiting experience required. 
        ",
