Title,Attributes,Location,Date,Link,Description
Overactive Bladder/Enlarged Prostate Study - Compensation Provided,"
compensation: Compensation Provided

employment type: part-time

",Boston boston/cambridge/brookline ,Dec 30,https://boston.craigslist.org/gbs/etc/d/roslindale-overactive-bladder-enlarged/7426760791.html,"

QR Code Link to This Post


 Are you or a loved one living with Overactive Bladder with an Enlarged Prostate? 

You may be eligible to participate in a study recruiting volunteers for an upcoming Overactive Bladder investigational treatment.

No health insurance is required to participate

QUALIFIED PARTICIPANTS MAY RECEIVE:

Compensation available for time and travel. 

You will receive all study-related care from a physician at no cost

TO QUALIFY, PARTICIPANTS MUST:

Be men ages 45+.

Have symptoms of an overactive bladder.

Be taking medication for an enlarged prostate

Contact our Research Staff Today - (Call Monday-Friday 8am-5pm)

☎️ 866-951-5797 ☎️

*Se Habla Español

If you reply via CL mail relay,
Please Include the Following Information;

Your Name (First & Last):
Best Contact Phone#(s):
Best Time To Contact You:
Trial/Study you are interested in:

You can also apply Online anytime at:  https://study.rocketclinical.com/us-bph-10-115/
"
"Become a Donor Today, Help Others While Making Extra Cash","
compensation: Up to $1,000 per month

employment type: part-time

",Cambridge boston/cambridge/brookline ,Dec 30,https://boston.craigslist.org/gbs/etc/d/cambridge-become-donor-today-help/7426689260.html,"

QR Code Link to This Post


The GoodNature™ Program is offering an amazing opportunity for healthy people who want to potentially make a difference in the lives of patients with serious diseases! This unique program is striving to do medical good – and can put some extra spending money in your pocket. If you are a healthy adult 18 to 50 years old, you may be eligible to earn up to $1,000 a month in compensation. Not only that, but your participation could also help lead to future developments in medicine and directly serve a patient population in need.

The GoodNature™ Program is recruiting healthy individuals who are of a normal weight, don’t smoke, and have no history of gastrointestinal disease or alcohol or drug abuse. You must be available to travel to our collection site in Cambridge to donate your poop three to seven times a week. People cannot participate while they’re pregnant, though we encourage them to keep us in mind for the future.

Get started with a few simple questions on our website: https://www.takeaseat.com/are-you-eligible?utm_source=Craigslist&utm_medium=Cambridge

Additional FAQ’s can be found here: https://www.takeaseat.com/faq "
Do you experience extreme sleepiness while working early morning shift,"
compensation: up to $4750

employment type: full-time

non-profit organization

",boston north shore ,Dec 29,https://boston.craigslist.org/nos/etc/d/boston-do-you-experience-extreme/7426291372.html,"

QR Code Link to This Post


The Division of Sleep Medicine at Brigham & Women’s Hospital is seeking individuals who:
• are 18 to 64 years old
• start work between 3AM-6AM at least 3 days per week
• are very sleepy during the daytime
Individuals who meet these criteria may be eligible for a sleep research study. The purpose of this study is to see if a medication can help with excessive daytime sleepiness in early morning shift workers. This study will ask participants to make 6 study visits over the course of 6 weeks.

Receive up to $4750

For more information, call 617-525-8657 or email EDSresearchstudy@partners.org

Or fill out the following survey https://redcap.link/DAWNstudy "
Come Sleep With Us! Sleep Study at BWH Needs Volunteers,"
compensation: Receive up to $6,250

employment type: part-time

",Boston boston/cambridge/brookline ,Dec 29,https://boston.craigslist.org/gbs/etc/d/boston-come-sleep-with-us-sleep-study/7426235218.html,"

QR Code Link to This Post


The Division of Sleep and Circadian Disorders at Brigham & Women’s Hospital is seeking healthy volunteers ages 20-40 to participate in a research study. You must be a non-smoker and not on any medications (other than birth control). You will complete 1 in-person and 3 remote screening visits and must keep a regular sleep schedule for 2 weeks. If eligible, you will live 33 consecutive days and nights in a private room in our clinical research center. 

We want to learn more about how insufficient sleep night after night impacts metabolism, and how exposure to artificial light at night plays a role. 

If you would like to be screened for participation, please follow the link below and fill out our pre-screening survey: 
https://redcap.partners.org/redcap/surveys/?s=ECM4EEDWLT

Receive up to $6,250. 

For more information, call 617-525-8838, e-mail us or visit https://rally.partners.org/study/alan.    "
Help Us Learn More About Circadian Rhythms! 5-day Research Study,"
compensation: Receive up to $1,800

employment type: part-time

internship

non-profit organization

",Boston boston/cambridge/brookline ,Dec 29,https://boston.craigslist.org/gbs/etc/d/boston-help-us-learn-more-about/7426234027.html,"

QR Code Link to This Post


The Division of Sleep Medicine at Brigham & Women’s Hospital is seeking healthy volunteers ages 21-35 to participate in a sleep research study. You must be a non-smoker and not on any medications.

You will complete 4 screening visits and must keep a regular sleep schedule for 2 to 4 weeks. If eligible, you will live 5 consecutive days and nights at the sleep research laboratory within the hospital.

The purpose of this study is to see if the body’s internal ‘clock’ time can be estimated from a single blood sample.

Receive up to $1,800. 

For more information, call 617-525-8813,  or visit https://rally.partners.org/study/bodyclockstudy "
"Earn Up to $1,500 by Becoming a Sperm Donor!","
compensation: Earn up to $1,500 per month

employment type: part-time

",Cambridge boston/cambridge/brookline ,Dec 28,https://boston.craigslist.org/gbs/etc/d/cambridge-earn-up-to-1500-by-becoming/7426089273.html,"

QR Code Link to This Post



California Cryobank is looking for sperm donors of all ethnicities in Cambridge.  


Why should you consider  applying? Earn up to $1,500 per month while helping others around the world start their family. Plus, these extra perks: 

- Appointments on your schedule 
- Get paid every two weeks 
- Less than 5 hours per month required! 
- Free ancestry report and genetic testing 

We are taking all necessary precautions in safeguarding against COVID-19, including the testing of donors and employees. 

 Basic Requirements for California Cryobank Sperm Donors:  

- Between 19 and 38 years old  
- Now attending or have graduated from college 
- Professional experience considered in lieu of college education 
- Legally allowed to work in the US 

  APPLY NOW! Remember, qualified donors will earn $1,500 per month for their time. 

See what former sperm donors say about their experience  here.

Learn more at:  spermbank.com 

 
Founded in 1977, California Cryobank is a full-service sperm bank providing a comprehensive resource for frozen donor sperm, private semen cryopreservation, and specialized reproductive services (including egg and embryo storage). We are extremely proud of our 40+ years of reproductive success and have distinguished ourselves as a leader in the industry and #1 physician recommended sperm bank in the world. "
Dog Walkers Wanted - $300-$500/week,"
compensation: $300-500/per week; $16-$32 per hour

employment type: part-time

",Natick metro west ,Dec 28,https://boston.craigslist.org/bmw/etc/d/natick-dog-walkers-wanted-week/7425917019.html,"

QR Code Link to This Post


Are you looking for a fun part time job with dogs?
Have you always wanted to work with animals? 

We are looking for dog lovers to join our team. 
We have a great reputation and Yelp reviews; and value our clients and walkers above all.

Prior experience is not required, but a great attitude and desire to learn is. We are willing to train the right person.

Benefits:

- Flexible Schedules
- Unlimited Income Potential 
- Licks and Kisses from Dogs
- Great Exercise
- Paid dog training and animal behavior 
- Perfect midday schedule for: students, stay at home moms, retirees, and freelance workers!

Interested candidates must be available Monday through Friday, 10am to 2pm and have reliable transportation. 

Please send along your resume and cover letter (its ok if no dog experience) and tell us why you believe you'd be a good fit for this position. We look forward to hearing from you!
"
Dog Walker Needed,"
compensation: $20/hr

employment type: contract

",Medford boston/cambridge/brookline ,Dec 27,https://boston.craigslist.org/gbs/etc/d/dog-walker-needed/7425676212.html,"

QR Code Link to This Post


Established dog walking company looking for walker.

Job Requirements

-Must be a dog Lover
-Must have a reliable car
-Must live CLOSE to Medford
-Must pass a criminal background check
-Be reliable/responsive to text/email via phone
-Typical hours Monday-Friday between 10am-2pm
-Typical walk is 2-3 dogs at a time
-Pay ranges from $400-$500 a week
-Prefer people with experience but not necessary

Please attach a resume and provide recent references.
"
Have a Car? Want to Work Early AM for Part Time? Apply Today!,"
compensation: Earn Up to $1,400 monthly

employment type: part-time

internship

","Pembroke, MA south shore ",Dec 27,https://boston.craigslist.org/sob/etc/d/north-pembroke-have-car-want-to-work/7425584785.html,"

QR Code Link to This Post


$1,500 Sign-On Bonus/Refer a friend and get $1,000 additional
Who Are We Looking For
WE NEED DELIVERY SERVICE PROVIDERS TO SUPPORT OUR EFFORTS!
Deliver Newspapers for 2 - 3 hours daily !
Routes available near where you live ~Plymouth County.

Important note:Must have a reliable vehicle to use for deliveries.
Come join our team today! Se habla español
 Call: 1-800-515-8000 
 TO APPLY: TEXT “PCFCASH” TO 617-207-6350
 Or visit https://app.higherme.com/jobs/5cb0f6e9d7135
 Or stop in to our location, Walk-ins Welcome 3AM - 9:30AM  Mon- Sat 
 1300 Corporate Park Drive, Pembroke, MA 02359
 "
"Dry Cleaning Presser - Natick, MA","
compensation: 15-17/hr

employment type: employee's choice

",Natick metro west ,Dec 27,https://boston.craigslist.org/bmw/etc/d/natick-dry-cleaning-presser-natick-ma/7425543787.html,"

QR Code Link to This Post


Anton’s Cleaners is currently seeking an experienced presser to work in busy processing plant. Previous dry cleaning or pressing experience is preferred.

Our production employees are the heart of our company - ensuring garments are cleaned and pressed to exceed the expectations of our customers. We are looking for hardworking individuals with keen attention to detail and a desire to learn and support multiple departments when necessary.

Anton’s provides continuous training on the latest care, technology, and equipment. We want to help you grow into a clothing care expert and provide opportunities to advance within the company based on your unique skillsets.

What you can expect:

· Flexible Hours

· Competitive Starting Pay

· Ongoing Training

· Career Advancement Opportunities

· Healthcare / Dental

· 401k

Skills Required:

· Keen attention to detail

· Ability to communicate well and adhere to company standards and policies

Preferred Skills (not required):

· Interest in learning multiple departments within production (i.e. Shirt Pressing, Pants Pressing, Wash & Fold, Dry Cleaning, Finishing)

Anton’s Cleaners is a leader in quality clothing care. As the largest retail dry cleaner in Massachusetts, Anton’s prides itself on valuing its employees. We encourage personal growth and reward performance with advancement opportunities.    "
