,title,company,sal_min_yearly,sal_max_yearly,city_name,state_name
1,data_scientist,"forward air, inc.",85000,120000,forest park,ga
2,data_scientist,permanent general assurance corp.,76440,76440,nashville,tn
3,data_analyst,nova collective,60000,70000,chicago,il
5,data_engineer,central intelligence agency,64137,159286,washington,dc
7,data_scientist,"tek-tree, llc",130000,140000,remote,un
8,data_scientist,millennium software solutions,140000,150000,west kingston,ri
10,data_analyst,intellisoft inc,110000,130000,atlanta,ga
13,data_scientist,audiohook,50000,80000,remote,un
14,data_analyst,advansys inc,75000,140000,remote,un
15,data_scientist,tekshapers inc,120000,130000,rahway,nj
17,data_scientist,"continental finance company, llc",80000,100000,wilmington,de
19,data_scientist,us department of veterans affairs,92143,140000,remote,un
20,data_scientist,delaware nation industries,130000,140000,washington,dc
21,data_scientist,blueprint power,78795,182856,remote,un
23,data_scientist,fintek solutions llc,90000,100000,atlanta,ga
25,data_scientist,primeneuro,95000,105000,durham,nc
26,data_scientist,viridios ai,60598,184293,remote,un
27,data_scientist,united solutions llc,50000,120000,rockville,md
28,data_scientist,atlas executive consulting,70000,85000,north charleston,sc
29,data_scientist,tripoint solutions,90000,95000,alexandria,va
30,data_engineer,creditxpert,96980,153326,baltimore,md
31,data_scientist,utility associates,110000,135000,decatur,ga
33,data_analyst,neal analytics,130000,140000,remote,un
36,data_analyst,clarify health solutions.,100000,145000,remote,un
41,data_analyst,homeless services network of central florida,45000,53000,orlando,fl
42,data_scientist,bcc geospatial center of the cuny crest institute,40000,50000,remote,un
44,data_scientist,brilliant infotech,111000,122000,ewing,nj
46,data_scientist,franklin iq,100000,140000,arlington,va
47,data_scientist,epochgeo,100000,200000,washington,dc
49,data_engineer,catalyte,116223,126282,remote,un
51,data_analyst,bsquared consulting,100000,108000,washington,dc
56,data_analyst,keybank,90000,100000,remote,un
59,data_analyst,the voter participation center / center for voter information,65000,75000,washington,dc
60,data_scientist,innovyt,110000,150000,san jose,ca
61,data_scientist,delta faucet company,80000,100000,remote +1 location,un
63,data_scientist,epochgeo,100000,200000,washington,dc
64,data_scientist,elexis ventures,140000,160000,remote,un
67,data_analyst,ghx,83000,88000,remote,un
70,data_engineer,braintrust,200000,240000,san francisco,ca
73,data_scientist,biz2credit inc,60000,65000,new york,ny
74,data_scientist,radius global solutions llc,80000,100000,ambler,pa
77,data_analyst,cloudpareto,80000,110000,arlington,va
79,data_engineer,"hala systems, inc",100000,115000,remote,un
80,data_scientist,fedex services,108312,176940,tennessee +2 locations,un
81,data_analyst,university of south florida,60000,60000,tampa,fl
82,data_engineer,wevision llc,85495,197669,remote,un
85,data_scientist,scientific systems and software international corporation,55000,70000,baltimore,md
86,data_analyst,techtrueup,84000,88000,remote,un
87,data_analyst,virginia dept of behavioral health & developmental sv,60000,80000,richmond,va
89,data_analyst,international baccalaureate,65000,80000,bethesda,md
